No.,正誤,分野名,大分類,中分類,出典,学習日
32,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/25_aki/q54.html"",""平成25年秋期 問54"")",2026/7/27
33,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q9.html"",""令和6年免除 問9"")",2026/7/27
34,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q2.html"",""平成30年春期 問2"")",2026/7/27
35,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q49.html"",""令和6年免除 問49"")",2026/7/27
36,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q53.html"",""平成30年秋期 問53"")",2026/7/27
37,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/26_aki/q44.html"",""平成26年秋期 問44"")",2026/7/27
38,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q24.html"",""平成30年秋期 問24"")",2026/7/27
39,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q31.html"",""令和2年免除 問31"")",2026/7/27
40,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q57.html"",""令和6年免除 問57"")",2026/7/27
41,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_aki/q62.html"",""平成29年秋期 問62"")",2026/7/27
42,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q20.html"",""令和6年免除 問20"")",2026/7/27
43,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q25.html"",""平成28年秋期 問25"")",2026/7/27
44,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/25_aki/q19.html"",""平成25年秋期 問19"")",2026/7/27
